Type,ID,Name,Description
Epic,,CryptoNews,"Develop the app that will follow the following flow:
1. connect to cryptocurrency news website or api (try to find best website yourself)
2. for each new incomming news categorise it based on
  a. what cryptocurrency it is related to
  b. price impact. Propose price impact rate:
      -10 is max negative impact,
      0 is no impact,
      10 is max positive impact
3. store the news in database
4. create a simple web app that will display the news in a table"
Story,1,ConnectNews,As a user I want the app to connect to a cryptocurrency news website or API so that I can receive the latest news updates
Task,1,CryptoNews,Research and select the best cryptocurrency news website or API to connect to
Task,2,Connect,Set up a connection to the selected cryptocurrency news website or API
Task,3,fetchNews,Implement a function to fetch the latest news updates from the website or API
Task,4,Model,Create a data model to represent the news articles including fields for cryptocurrency price impact and other relevant information
Task,5,Categorize Crypto,Implement a function to categorize each news article based on the cryptocurrency it is related to
Task,6,RateNews,Implement a function to propose a price impact rate for each news article
Task,7,DB Setup,Set up a database to store the news articles
Task,8,StoreNews,Implement a function to store the categorized and rated news articles in the database
Task,9,NewsTable,Design and create a simple web app interface to display the news articles in a table
Task,10,Fetch News,Implement a function to fetch the news articles from the database and display them in the web app
Task,11,Connect,Test the app to ensure that it successfully connects to the cryptocurrency news website or API and displays the latest news updates in the web app
Task,12,Optimize,Refine and optimize the apps performance if necessary
Task,13,Document,Document the apps functionality and provide instructions for deployment and usage
Task,14,Test,Conduct user testing to gather feedback and make any necessary improvements to the app
Task,15,Deploy,Deploy the app to a production environment for public use
Story,2,Categorize Cryptocurrency News,As a user I want the app to categorize each incoming news based on the cryptocurrency it is related to so that I can easily find news about specific cryptocurrencies
Task,1,CryptoNews,Research and select a reliable cryptocurrency news website or API to connect to
Task,2,Extract News,Implement a data extraction mechanism to fetch incoming news from the selected website or API
Task,3,CryptoCat,Develop a categorization algorithm to determine the cryptocurrency each news article is related to
Task,4,Sentiment Rate,Implement a sentiment analysis algorithm to propose a price impact rate for each news article
Task,5,Schema,Design and create a database schema to store the categorized news articles
Task,6,StoreNews,Develop a data storage mechanism to store the news articles in the database
Task,7,WebFrame,Create a web application framework eg Django Flask for the simple web app
Task,8,Display News,Design and implement a user interface for the web app to display the categorized news articles in a table format
Task,9,Categorize,Integrate the categorization and sentiment analysis algorithms into the web app to automatically categorize and propose price impact rates for incoming news articles
Task,10,Realtime News,Implement a mechanism to continuously fetch and categorize new incoming news articles in realtime
Task,11,CryptoSearch,Add functionality to allow users to search and filter news articles based on specific cryptocurrencies
Task,12,Authenticate,Implement user authentication and authorization to ensure only authorized users can access the web app and its features
Task,13,UpdateCryptoList,Implement a mechanism to periodically update the cryptocurrency list and their corresponding categories in the app
